Country_exporting_to_India,Quantity_2011_12,Principal_Commodity,Unit
TAJIKISTAN,332,"PETROLEUM, CRUDE & PRODUCTS",TON
PHILIPPINES,323,"PETROLEUM, CRUDE & PRODUCTS",TON
MARSHALL ISLAND,241,"PETROLEUM, CRUDE & PRODUCTS",TON
FINLAND,196,"PETROLEUM, CRUDE & PRODUCTS",TON
ANTIGUA,161,"PETROLEUM, CRUDE & PRODUCTS",TON
POLAND,159,"PETROLEUM, CRUDE & PRODUCTS",TON
SLOVENIA,151,"PETROLEUM, CRUDE & PRODUCTS",TON
COSTA RICA,126,"PETROLEUM, CRUDE & PRODUCTS",TON
BULGARIA,104,"PETROLEUM, CRUDE & PRODUCTS",TON
REUNION,96,"PETROLEUM, CRUDE & PRODUCTS",TON
CZECH REPUBLIC,95,"PETROLEUM, CRUDE & PRODUCTS",TON
NAMIBIA,75,"PETROLEUM, CRUDE & PRODUCTS",TON
ARGENTINA,74,"PETROLEUM, CRUDE & PRODUCTS",TON
BURKINA FASO,73,"PETROLEUM, CRUDE & PRODUCTS",TON
MADAGASCAR,67,"PETROLEUM, CRUDE & PRODUCTS",TON
PAPUA N GNA,63,"PETROLEUM, CRUDE & PRODUCTS",TON
MALI,56,"PETROLEUM, CRUDE & PRODUCTS",TON
CHILE,41,"PETROLEUM, CRUDE & PRODUCTS",TON
MALAWI,40,"PETROLEUM, CRUDE & PRODUCTS",TON
GEORGIA,38,"PETROLEUM, CRUDE & PRODUCTS",TON
ESTONIA,35,"PETROLEUM, CRUDE & PRODUCTS",TON
BAHAMAS,34,"PETROLEUM, CRUDE & PRODUCTS",TON
IRELAND,33,"PETROLEUM, CRUDE & PRODUCTS",TON
SLOVAK REP,20,"PETROLEUM, CRUDE & PRODUCTS",TON
PERU,18,"PETROLEUM, CRUDE & PRODUCTS",TON
KENYA,17,"PETROLEUM, CRUDE & PRODUCTS",TON
GHANA,16,"PETROLEUM, CRUDE & PRODUCTS",TON
MOROCCO,16,"PETROLEUM, CRUDE & PRODUCTS",TON
TOGO,16,"PETROLEUM, CRUDE & PRODUCTS",TON
NETHERLANDANTIL,5,"PETROLEUM, CRUDE & PRODUCTS",TON
SWAZILAND,5,"PETROLEUM, CRUDE & PRODUCTS",TON
LUXEMBOURG,1,"PETROLEUM, CRUDE & PRODUCTS",TON
