Country_exporting_to_India,Principal_Commodity,Quantity_2011_12,Quantity_2012_13
MALAWI,RAW HIDES & SKINS,0,0
MALAYSIA,RAW HIDES & SKINS,0,0
MAURITANIA,RAW HIDES & SKINS,0,0
MYANMAR,RAW HIDES & SKINS,0,0
MEXICO,RAW HIDES & SKINS,0,0
MOROCCO,RAW HIDES & SKINS,0,0
MOZAMBIQUE,RAW HIDES & SKINS,0,0
NEPAL,RAW HIDES & SKINS,0,0
NETHERLAND,RAW HIDES & SKINS,0,0
NEW ZEALAND,RAW HIDES & SKINS,0,0
NIGERIA,RAW HIDES & SKINS,0,0
NORWAY,RAW HIDES & SKINS,0,0
OMAN,RAW HIDES & SKINS,0,0
PAKISTAN IR,RAW HIDES & SKINS,0,0
PANAMA REPUBLIC,RAW HIDES & SKINS,0,0
PERU,RAW HIDES & SKINS,0,0
PHILIPPINES,RAW HIDES & SKINS,0,0
POLAND,RAW HIDES & SKINS,0,0
PORTUGAL,RAW HIDES & SKINS,0,0
QATAR,RAW HIDES & SKINS,0,0
ROMANIA,RAW HIDES & SKINS,0,0
RUSSIA,RAW HIDES & SKINS,0,0
SAUDI ARAB,RAW HIDES & SKINS,0,0
SENEGAL,RAW HIDES & SKINS,0,0
SINGAPORE,RAW HIDES & SKINS,0,0
SLOVENIA,RAW HIDES & SKINS,0,0
SOMALIA,RAW HIDES & SKINS,0,0
SOUTH AFRICA,RAW HIDES & SKINS,0,0
SPAIN,RAW HIDES & SKINS,0,0
SRI LANKA DSR,RAW HIDES & SKINS,0,0
SUDAN,RAW HIDES & SKINS,0,0
SURINAME,RAW HIDES & SKINS,0,0
SWEDEN,RAW HIDES & SKINS,0,0
SWITZERLAND,RAW HIDES & SKINS,0,0
SYRIA,RAW HIDES & SKINS,0,0
TANZANIA REP,RAW HIDES & SKINS,0,0
THAILAND,RAW HIDES & SKINS,0,0
TUNISIA,RAW HIDES & SKINS,0,0
TURKEY,RAW HIDES & SKINS,0,0
TURKMENISTAN,RAW HIDES & SKINS,0,0
UGANDA,RAW HIDES & SKINS,0,0
U ARAB EMTS,RAW HIDES & SKINS,0,0
U K,RAW HIDES & SKINS,0,0
UKRAINE,RAW HIDES & SKINS,0,0
U S A,RAW HIDES & SKINS,0,0
URUGUAY,RAW HIDES & SKINS,0,0
UZBEKISTAN,RAW HIDES & SKINS,0,0
VENEZUELA,RAW HIDES & SKINS,0,0
VIETNAM SOC REP,RAW HIDES & SKINS,0,0
YEMEN REPUBLC,RAW HIDES & SKINS,0,0
ZAMBIA,RAW HIDES & SKINS,0,0
AFGHANISTAN TIS,"PETROLEUM, CRUDE & PRODUCTS",0,19
ALBANIA,"PETROLEUM, CRUDE & PRODUCTS",115382,41687
ALGERIA,"PETROLEUM, CRUDE & PRODUCTS",2373567,809627
ANGOLA,"PETROLEUM, CRUDE & PRODUCTS",7976415,10091752
ANTIGUA,"PETROLEUM, CRUDE & PRODUCTS",161,427
ARGENTINA,"PETROLEUM, CRUDE & PRODUCTS",74,105
AUSTRALIA,"PETROLEUM, CRUDE & PRODUCTS",695973,323347
AUSTRIA,"PETROLEUM, CRUDE & PRODUCTS",401,0
AZERBAIJAN,"PETROLEUM, CRUDE & PRODUCTS",1008478,2159348
BAHAMAS,"PETROLEUM, CRUDE & PRODUCTS",34,143220
BAHARAIN IS,"PETROLEUM, CRUDE & PRODUCTS",605941,413147
BANGLADESH PR,"PETROLEUM, CRUDE & PRODUCTS",18587,38672
BELGIUM,"PETROLEUM, CRUDE & PRODUCTS",100086,3974
BENIN,"PETROLEUM, CRUDE & PRODUCTS",8725,887
BHUTAN,"PETROLEUM, CRUDE & PRODUCTS",0,57
BRAZIL,"PETROLEUM, CRUDE & PRODUCTS",3801674,3748884
BRUNEI,"PETROLEUM, CRUDE & PRODUCTS",863676,1146540
BULGARIA,"PETROLEUM, CRUDE & PRODUCTS",104,72
BURKINA FASO,"PETROLEUM, CRUDE & PRODUCTS",73,0
CAMEROON,"PETROLEUM, CRUDE & PRODUCTS",580387,527657
CANADA,"PETROLEUM, CRUDE & PRODUCTS",1109,142757
CAPE VERDE IS,"PETROLEUM, CRUDE & PRODUCTS",0,95
CHAD,"PETROLEUM, CRUDE & PRODUCTS",0,139820
CHILE,"PETROLEUM, CRUDE & PRODUCTS",41,117096
TAIWAN,"PETROLEUM, CRUDE & PRODUCTS",379292,322667
CHINA P RP,"PETROLEUM, CRUDE & PRODUCTS",1407016,1103558
COLOMBIA,"PETROLEUM, CRUDE & PRODUCTS",746717,3057597
CONGO P REP,"PETROLEUM, CRUDE & PRODUCTS",316389,552067
COSTA RICA,"PETROLEUM, CRUDE & PRODUCTS",126,0
CYPRUS,"PETROLEUM, CRUDE & PRODUCTS",883,111
CZECH REPUBLIC,"PETROLEUM, CRUDE & PRODUCTS",95,152
DENMARK,"PETROLEUM, CRUDE & PRODUCTS",5297,30
ECUADOR,"PETROLEUM, CRUDE & PRODUCTS",0,1128663
EGYPT A RP,"PETROLEUM, CRUDE & PRODUCTS",3561201,2995975
ESTONIA,"PETROLEUM, CRUDE & PRODUCTS",35,0
ETHIOPIA,"PETROLEUM, CRUDE & PRODUCTS",3242,0
EQUTL GUINEA,"PETROLEUM, CRUDE & PRODUCTS",232542,653031
FINLAND,"PETROLEUM, CRUDE & PRODUCTS",196,2803
FRANCE,"PETROLEUM, CRUDE & PRODUCTS",19696,76399
FR GUIANA,"PETROLEUM, CRUDE & PRODUCTS",130317,0
GABON,"PETROLEUM, CRUDE & PRODUCTS",89802,997940
GEORGIA,"PETROLEUM, CRUDE & PRODUCTS",38,15270
GERMANY,"PETROLEUM, CRUDE & PRODUCTS",24921,16527
GHANA,"PETROLEUM, CRUDE & PRODUCTS",16,511
GREECE,"PETROLEUM, CRUDE & PRODUCTS",15000,981
GUADELOUPE,"PETROLEUM, CRUDE & PRODUCTS",706,0
GUINEA,"PETROLEUM, CRUDE & PRODUCTS",144805,664194
GUINEA BISSAU,"PETROLEUM, CRUDE & PRODUCTS",53794,10
HONG KONG,"PETROLEUM, CRUDE & PRODUCTS",45062,5757
HUNGARY,"PETROLEUM, CRUDE & PRODUCTS",418,4009
INDONESIA,"PETROLEUM, CRUDE & PRODUCTS",261114,226254
IRAN,"PETROLEUM, CRUDE & PRODUCTS",14796228,13334090
IRAQ,"PETROLEUM, CRUDE & PRODUCTS",23778037,25374113
IRELAND,"PETROLEUM, CRUDE & PRODUCTS",33,42
ISRAEL,"PETROLEUM, CRUDE & PRODUCTS",84686,49
ITALY,"PETROLEUM, CRUDE & PRODUCTS",7820,15864
COTE D' IVOIRE,"PETROLEUM, CRUDE & PRODUCTS",196940,167
JAPAN,"PETROLEUM, CRUDE & PRODUCTS",258305,31239
KAZAKHSTAN,"PETROLEUM, CRUDE & PRODUCTS",2979,3094
KENYA,"PETROLEUM, CRUDE & PRODUCTS",17,46
KOREA DP RP,"PETROLEUM, CRUDE & PRODUCTS",2620,0
KOREA RP,"PETROLEUM, CRUDE & PRODUCTS",846658,683877
KUWAIT,"PETROLEUM, CRUDE & PRODUCTS",19599691,20306796
LEBANON,"PETROLEUM, CRUDE & PRODUCTS",0,299
LIBERIA,"PETROLEUM, CRUDE & PRODUCTS",7416,5101
LIBYA,"PETROLEUM, CRUDE & PRODUCTS",45032,2034667
LUXEMBOURG,"PETROLEUM, CRUDE & PRODUCTS",1,20
MACAO,"PETROLEUM, CRUDE & PRODUCTS",0,20
MADAGASCAR,"PETROLEUM, CRUDE & PRODUCTS",67,86
MALAWI,"PETROLEUM, CRUDE & PRODUCTS",40,0
MALAYSIA,"PETROLEUM, CRUDE & PRODUCTS",2593848,2847311
MALDIVES,"PETROLEUM, CRUDE & PRODUCTS",13474,36
MALI,"PETROLEUM, CRUDE & PRODUCTS",56,0
MALTA,"PETROLEUM, CRUDE & PRODUCTS",0,15
MARSHALL ISLAND,"PETROLEUM, CRUDE & PRODUCTS",241,33
MAURITIUS,"PETROLEUM, CRUDE & PRODUCTS",11988,21
MYANMAR,"PETROLEUM, CRUDE & PRODUCTS",10199,3606
MEXICO,"PETROLEUM, CRUDE & PRODUCTS",2364568,4628256
MOROCCO,"PETROLEUM, CRUDE & PRODUCTS",16,240
NAMIBIA,"PETROLEUM, CRUDE & PRODUCTS",75,111
NETHERLAND,"PETROLEUM, CRUDE & PRODUCTS",242308,892533
NETHERLANDANTIL,"PETROLEUM, CRUDE & PRODUCTS",5,199
NEW ZEALAND,"PETROLEUM, CRUDE & PRODUCTS",367,77
NICARAGUA,"PETROLEUM, CRUDE & PRODUCTS",0,76627
NIGER,"PETROLEUM, CRUDE & PRODUCTS",0,116750
NIGERIA,"PETROLEUM, CRUDE & PRODUCTS",16743270,16123252
NORWAY,"PETROLEUM, CRUDE & PRODUCTS",2973,6701
OMAN,"PETROLEUM, CRUDE & PRODUCTS",2589749,618308
PAKISTAN IR,"PETROLEUM, CRUDE & PRODUCTS",25997,31700
PANAMA REPUBLIC,"PETROLEUM, CRUDE & PRODUCTS",202123,58051
PANAMA C Z,"PETROLEUM, CRUDE & PRODUCTS",103743,0
PAPUA N GNA,"PETROLEUM, CRUDE & PRODUCTS",63,0
PERU,"PETROLEUM, CRUDE & PRODUCTS",18,0
PHILIPPINES,"PETROLEUM, CRUDE & PRODUCTS",323,158
POLAND,"PETROLEUM, CRUDE & PRODUCTS",159,24594
PORTUGAL,"PETROLEUM, CRUDE & PRODUCTS",3775,2
QATAR,"PETROLEUM, CRUDE & PRODUCTS",18080814,20705230
REUNION,"PETROLEUM, CRUDE & PRODUCTS",96,0
ROMANIA,"PETROLEUM, CRUDE & PRODUCTS",565,49044
RUSSIA,"PETROLEUM, CRUDE & PRODUCTS",3751,166147
SAUDI ARAB,"PETROLEUM, CRUDE & PRODUCTS",33571839,36436183
SENEGAL,"PETROLEUM, CRUDE & PRODUCTS",0,3
SERBIA MONTNGRO,"PETROLEUM, CRUDE & PRODUCTS",0,88
SLOVAK REP,"PETROLEUM, CRUDE & PRODUCTS",20,0
SINGAPORE,"PETROLEUM, CRUDE & PRODUCTS",2386472,844939
SLOVENIA,"PETROLEUM, CRUDE & PRODUCTS",151,134
SOUTH AFRICA,"PETROLEUM, CRUDE & PRODUCTS",22643,17462
SPAIN,"PETROLEUM, CRUDE & PRODUCTS",118169,148580
SRI LANKA DSR,"PETROLEUM, CRUDE & PRODUCTS",44500,2509
SUDAN,"PETROLEUM, CRUDE & PRODUCTS",522288,83533
SWAZILAND,"PETROLEUM, CRUDE & PRODUCTS",5,2
SWEDEN,"PETROLEUM, CRUDE & PRODUCTS",120512,8318
SWITZERLAND,"PETROLEUM, CRUDE & PRODUCTS",2365,186
SYRIA,"PETROLEUM, CRUDE & PRODUCTS",166681,82650
TAJIKISTAN,"PETROLEUM, CRUDE & PRODUCTS",332,252
TANZANIA REP,"PETROLEUM, CRUDE & PRODUCTS",0,20
THAILAND,"PETROLEUM, CRUDE & PRODUCTS",83266,59817
TOGO,"PETROLEUM, CRUDE & PRODUCTS",16,0
TRINIDAD,"PETROLEUM, CRUDE & PRODUCTS",319526,0
TUNISIA,"PETROLEUM, CRUDE & PRODUCTS",34901,0
TURKEY,"PETROLEUM, CRUDE & PRODUCTS",1070,14440
U ARAB EMTS,"PETROLEUM, CRUDE & PRODUCTS",17168628,18060219
U K,"PETROLEUM, CRUDE & PRODUCTS",119689,90184
UKRAINE,"PETROLEUM, CRUDE & PRODUCTS",8588,4755
U S A,"PETROLEUM, CRUDE & PRODUCTS",1462048,2866229
UZBEKISTAN,"PETROLEUM, CRUDE & PRODUCTS",4941,584
VENEZUELA,"PETROLEUM, CRUDE & PRODUCTS",9466282,20768994
VIETNAM SOC REP,"PETROLEUM, CRUDE & PRODUCTS",3446,195
YEMEN REPUBLC,"PETROLEUM, CRUDE & PRODUCTS",1232233,1086881
UNSPECIFIED,"PETROLEUM, CRUDE & PRODUCTS",156937,25658
AFGHANISTAN TIS,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
ANGOLA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
ARGENTINA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
AUSTRALIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
AUSTRIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
BAHARAIN IS,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
BANGLADESH PR,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
BARBADOS,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
BELGIUM,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
BENIN,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
BOLIVIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
BOSNIA-HRZGOVIN,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
BRAZIL,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
BULGARIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
BELARUS,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
CAMBODIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
CANADA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
CHILE,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
TAIWAN,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
CHINA P RP,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
COLOMBIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
COSTA RICA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
CROATIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
CYPRUS,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
CZECH REPUBLIC,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
DENMARK,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
DOMINIC REP,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
ECUADOR,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
EGYPT A RP,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
EL SALVADOR,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
ESTONIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
ETHIOPIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
FINLAND,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
FIJI IS,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
FRANCE,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
GABON,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
GEORGIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
GERMANY,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
GHANA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
GREECE,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
GUADELOUPE,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
HAITI,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
HONDURAS,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
HONG KONG,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
HUNGARY,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
ICELAND,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
INDONESIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
IRAN,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
IRAQ,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
IRELAND,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
ISRAEL,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
ITALY,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
COTE D' IVOIRE,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
JAMAICA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
JAPAN,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
JORDAN,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
KAZAKHSTAN,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
KENYA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
KOREA DP RP,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
KOREA RP,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
KUWAIT,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
LATVIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
LEBANON,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
LIBERIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
LIBYA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
LIECHTENSTEIN,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
LITHUANIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
LUXEMBOURG,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
MACAO,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
MACEDONIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
MADAGASCAR,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
MALAWI,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
MALAYSIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
MALDIVES,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
MALTA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
MARSHALL ISLAND,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
MAURITIUS,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
MYANMAR,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
MEXICO,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
MONACO,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
MOROCCO,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
MOZAMBIQUE,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
NAMIBIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
NEPAL,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
NETHERLAND,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
NETHERLANDANTIL,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
NEW ZEALAND,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
NIGERIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
NORWAY,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
OMAN,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
PAKISTAN IR,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
PANAMA REPUBLIC,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
PERU,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
PHILIPPINES,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
POLAND,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
PORTUGAL,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
PUERTO RICO,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
QATAR,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
REUNION,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
ROMANIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
RUSSIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
SAUDI ARAB,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
SENEGAL,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
SERBIA MONTNGRO,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
SEYCHELLES,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
SIERRA LEONE,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
SLOVAK REP,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
SINGAPORE,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
SLOVENIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
SOUTH AFRICA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
SPAIN,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
SRI LANKA DSR,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
SWAZILAND,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
SWEDEN,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
SWITZERLAND,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
SYRIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
TANZANIA REP,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
THAILAND,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
TOGO,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
TUNISIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
TURKEY,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
TURKMENISTAN,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
U ARAB EMTS,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
U K,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
UKRAINE,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
U S A,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
URUGUAY,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
VENEZUELA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
VIETNAM SOC REP,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
VIRGIN IS US,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
ZAMBIA,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
ZIMBABWE,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
UNSPECIFIED,"PRNTD BOOKS,NWSPAPRS,JRNLS ETC",0,0
AFGHANISTAN TIS,"PRIMRY STEL,PIG IRON BASD ITMS",75,0
ALBANIA,"PRIMRY STEL,PIG IRON BASD ITMS",0,135
ARGENTINA,"PRIMRY STEL,PIG IRON BASD ITMS",2105,2184
AUSTRALIA,"PRIMRY STEL,PIG IRON BASD ITMS",297,318
AUSTRIA,"PRIMRY STEL,PIG IRON BASD ITMS",103,114
BAHARAIN IS,"PRIMRY STEL,PIG IRON BASD ITMS",294,700
BELGIUM,"PRIMRY STEL,PIG IRON BASD ITMS",360,266
BHUTAN,"PRIMRY STEL,PIG IRON BASD ITMS",76257,74459
BRAZIL,"PRIMRY STEL,PIG IRON BASD ITMS",10732,10086
BELARUS,"PRIMRY STEL,PIG IRON BASD ITMS",105,63
CANADA,"PRIMRY STEL,PIG IRON BASD ITMS",1626,2228
CHILE,"PRIMRY STEL,PIG IRON BASD ITMS",219,20
TAIWAN,"PRIMRY STEL,PIG IRON BASD ITMS",3759,3757
CHINA P RP,"PRIMRY STEL,PIG IRON BASD ITMS",59567,43323
COLOMBIA,"PRIMRY STEL,PIG IRON BASD ITMS",91,3033
COSTA RICA,"PRIMRY STEL,PIG IRON BASD ITMS",3,0
CYPRUS,"PRIMRY STEL,PIG IRON BASD ITMS",0,105
CZECH REPUBLIC,"PRIMRY STEL,PIG IRON BASD ITMS",73,0
DENMARK,"PRIMRY STEL,PIG IRON BASD ITMS",153,41
DOMINIC REP,"PRIMRY STEL,PIG IRON BASD ITMS",0,267
DOMINICA,"PRIMRY STEL,PIG IRON BASD ITMS",0,69
ECUADOR,"PRIMRY STEL,PIG IRON BASD ITMS",0,18
EGYPT A RP,"PRIMRY STEL,PIG IRON BASD ITMS",2689,1984
ESTONIA,"PRIMRY STEL,PIG IRON BASD ITMS",0,150
FINLAND,"PRIMRY STEL,PIG IRON BASD ITMS",55,54
FRANCE,"PRIMRY STEL,PIG IRON BASD ITMS",7524,7063
GABON,"PRIMRY STEL,PIG IRON BASD ITMS",27,0
GEORGIA,"PRIMRY STEL,PIG IRON BASD ITMS",249,27
GERMANY,"PRIMRY STEL,PIG IRON BASD ITMS",4140,3456
GHANA,"PRIMRY STEL,PIG IRON BASD ITMS",0,40
GREECE,"PRIMRY STEL,PIG IRON BASD ITMS",1483,6898
HONDURAS,"PRIMRY STEL,PIG IRON BASD ITMS",0,0
HONG KONG,"PRIMRY STEL,PIG IRON BASD ITMS",137,240
HUNGARY,"PRIMRY STEL,PIG IRON BASD ITMS",1,0
ICELAND,"PRIMRY STEL,PIG IRON BASD ITMS",535,0
INDONESIA,"PRIMRY STEL,PIG IRON BASD ITMS",1394,3221
IRAN,"PRIMRY STEL,PIG IRON BASD ITMS",308,680
IRAQ,"PRIMRY STEL,PIG IRON BASD ITMS",0,70
IRELAND,"PRIMRY STEL,PIG IRON BASD ITMS",0,28
ISRAEL,"PRIMRY STEL,PIG IRON BASD ITMS",5,0
ITALY,"PRIMRY STEL,PIG IRON BASD ITMS",5636,8191
COTE D' IVOIRE,"PRIMRY STEL,PIG IRON BASD ITMS",0,27
JAPAN,"PRIMRY STEL,PIG IRON BASD ITMS",2206,11495
JORDAN,"PRIMRY STEL,PIG IRON BASD ITMS",0,52227
KAZAKHSTAN,"PRIMRY STEL,PIG IRON BASD ITMS",2160,3304
KYRGHYZSTAN,"PRIMRY STEL,PIG IRON BASD ITMS",0,150
KOREA RP,"PRIMRY STEL,PIG IRON BASD ITMS",4138,10763
KUWAIT,"PRIMRY STEL,PIG IRON BASD ITMS",123,655
LATVIA,"PRIMRY STEL,PIG IRON BASD ITMS",106,17
LIBERIA,"PRIMRY STEL,PIG IRON BASD ITMS",86,0
LITHUANIA,"PRIMRY STEL,PIG IRON BASD ITMS",47,0
MACEDONIA,"PRIMRY STEL,PIG IRON BASD ITMS",748,1895
