KOREA RP,M-MADE F'MNT/SPUN YRN(INC.WAS)
KUWAIT,M-MADE F'MNT/SPUN YRN(INC.WAS)
KYRGHYZSTAN,LEATHER
LAO PD RP,MEDICINAL & PHRMACUTICL PRODTS
LATVIA,M-MADE F'MNT/SPUN YRN(INC.WAS)
LEBANON,MADEUP TEXTILE ARTICL
LESOTHO,M-MADE F'MNT/SPUN YRN(INC.WAS)
LIBERIA,INORGANIC CHEMICALS
LIBYA,IRON & STEEL
LIECHTENSTEIN,INORGANIC CHEMICALS
LITHUANIA,M-MADE F'MNT/SPUN YRN(INC.WAS)
LUXEMBOURG,M-MADE F'MNT/SPUN YRN(INC.WAS)
MACAO,MADEUP TEXTILE ARTICL
MACEDONIA,MEDICINAL & PHRMACUTICL PRODTS
MADAGASCAR,M-MADE F'MNT/SPUN YRN(INC.WAS)
MALAWI,M-MADE F'MNT/SPUN YRN(INC.WAS)
MALAYSIA,M-MADE F'MNT/SPUN YRN(INC.WAS)
MALDIVES,M-MADE F'MNT/SPUN YRN(INC.WAS)
MALI,LEATHER
MALTA,FRUITS & NUTS EXCL CASHEW NUTS
MARSHALL ISLAND,MACHRY EXCPT ELEC & ELECTRONIC
MAURITANIA,LEATHER
MAURITIUS,M-MADE F'MNT/SPUN YRN(INC.WAS)
MEXICO,M-MADE F'MNT/SPUN YRN(INC.WAS)
MOLDOVA,IRON & STEEL
MONACO,INORGANIC CHEMICALS
MONGOLIA,INORGANIC CHEMICALS
MOROCCO,M-MADE F'MNT/SPUN YRN(INC.WAS)
MOZAMBIQUE,M-MADE F'MNT/SPUN YRN(INC.WAS)
MYANMAR,M-MADE F'MNT/SPUN YRN(INC.WAS)
NAMIBIA,FRUITS & NUTS EXCL CASHEW NUTS
NAURU RP,"FERTILIZERS,CRUDE"
NEPAL,M-MADE F'MNT/SPUN YRN(INC.WAS)
NETHERLAND,M-MADE F'MNT/SPUN YRN(INC.WAS)
NETHERLANDANTIL,M-MADE F'MNT/SPUN YRN(INC.WAS)
NEW CALEDONIA,IRON & STEEL
NEW ZEALAND,M-MADE F'MNT/SPUN YRN(INC.WAS)
NICARAGUA,MACHRY EXCPT ELEC & ELECTRONIC
NIGER,MEDICINAL & PHRMACUTICL PRODTS
NIGERIA,M-MADE F'MNT/SPUN YRN(INC.WAS)
NIUE IS,MANUFACTURES OF METALS
NORFOLK IS,MADEUP TEXTILE ARTICL
NORWAY,M-MADE F'MNT/SPUN YRN(INC.WAS)
OMAN,M-MADE F'MNT/SPUN YRN(INC.WAS)
PAKISTAN IR,M-MADE F'MNT/SPUN YRN(INC.WAS)
PANAMA REPUBLIC,M-MADE F'MNT/SPUN YRN(INC.WAS)
PAPUA N GNA,IRON & STEEL
PARAGUAY,LEATHER
PERU,M-MADE F'MNT/SPUN YRN(INC.WAS)
PHILIPPINES,M-MADE F'MNT/SPUN YRN(INC.WAS)
POLAND,M-MADE F'MNT/SPUN YRN(INC.WAS)
PORTUGAL,M-MADE F'MNT/SPUN YRN(INC.WAS)
PUERTO RICO,M-MADE F'MNT/SPUN YRN(INC.WAS)
QATAR,M-MADE F'MNT/SPUN YRN(INC.WAS)
REUNION,M-MADE F'MNT/SPUN YRN(INC.WAS)
ROMANIA,M-MADE F'MNT/SPUN YRN(INC.WAS)
RUSSIA,M-MADE F'MNT/SPUN YRN(INC.WAS)
SAMOA,LEATHER
SAO TOME,MACHRY EXCPT ELEC & ELECTRONIC
SAUDI ARAB,M-MADE F'MNT/SPUN YRN(INC.WAS)
SENEGAL,MADEUP TEXTILE ARTICL
SERBIA MONTNGRO,M-MADE F'MNT/SPUN YRN(INC.WAS)
SEYCHELLES,FRUITS & NUTS EXCL CASHEW NUTS
SIERRA LEONE,MANUFACTURES OF METALS
SINGAPORE,M-MADE F'MNT/SPUN YRN(INC.WAS)
SLOVAK REP,M-MADE F'MNT/SPUN YRN(INC.WAS)
SLOVENIA,M-MADE F'MNT/SPUN YRN(INC.WAS)
SOLOMON IS,LEATHER
SOMALIA,FRUITS & NUTS EXCL CASHEW NUTS
SOUTH AFRICA,M-MADE F'MNT/SPUN YRN(INC.WAS)
SPAIN,M-MADE F'MNT/SPUN YRN(INC.WAS)
SRI LANKA DSR,M-MADE F'MNT/SPUN YRN(INC.WAS)
ST LUCIA,MANUFACTURES OF METALS
SUDAN,M-MADE F'MNT/SPUN YRN(INC.WAS)
SURINAME,M-MADE F'MNT/SPUN YRN(INC.WAS)
SWAZILAND,M-MADE F'MNT/SPUN YRN(INC.WAS)
