"LEATHER","ZIMBABWE"
"INORGANIC CHEMICALS","ZIMBABWE"
"IRON & STEEL","ZIMBABWE"
"MANUFACTURES OF METALS","ZIMBABWE"
"MACHRY EXCPT ELEC & ELECTRONIC","ZIMBABWE"
